abbreviation,id,activeFranchise,firstSeasonId,franchiseId,gameTypeId,gamesPlayed,goalsAgainst,goalsFor,homeLosses,homeOvertimeLosses,homeTies,homeWins,lastSeasonId,losses,overtimeLosses,penaltyMinutes,pointPctg,points,roadLosses,roadOvertimeLosses,roadTies,roadWins,shootoutLosses,shootoutWins,shutouts,teamId,ties,wins
MWN,79,0,19171918,2,2,6,37,17,2,NA,0,1,19171918,5,NA,27,0.1667,2,3,NA,0,0,0,0,0,41,0,1
QBD,80,0,19191920,4,2,24,177,91,8,NA,0,4,19191920,20,NA,119,0.1667,8,12,NA,0,0,0,0,0,42,0,4
MMR,163,0,38483850,14,5,672,1484,1548,119,NA,56,165,38743876,281,NA,7865,0.5088,633,162,NA,44,126,0,0,88,86,100,291
NYA,167,0,38503852,16,5,754,2049,1542,157,NA,68,151,38803882,384,NA,6503,0.409,602,227,NA,57,94,0,0,87,88,125,245
SLE,85,0,19341935,3,2,48,144,86,14,NA,3,7,19341935,31,NA,408,0.2917,28,17,NA,3,4,0,0,3,45,6,11
OAK,173,0,39343936,26,5,237,749,572,50,NA,NA,46,39383940,126,NA,2595,0.385,174,76,NA,NA,23,0,0,11,92,NA,69
AFM,177,2,39443946,42,5,653,2075,2089,110,NA,NA,163,39583960,275,NA,8069,0.5063,644,165,NA,NA,107,0,0,34,94,NA,270
KCS,90,1,19741975,23,2,160,679,374,44,NA,16,20,19751976,110,NA,1726,0.2406,77,66,NA,7,7,0,0,0,48,23,27
CLE,91,0,19761977,13,2,160,617,470,34,NA,18,28,19771978,87,NA,2021,0.375,120,53,NA,8,19,0,0,6,49,26,47
DFL,185,2,38603862,24,5,94,216,198,10,NA,12,25,38623864,42,NA,870,0.462,85,32,NA,6,9,0,0,12,100,18,34
BRK,94,0,19411942,8,2,48,175,133,12,NA,2,10,19411942,29,NA,425,0.3646,35,17,NA,1,6,0,0,1,51,3,16
WPG,191,2,40224024,70,5,788,2263,2313,149,33,NA,214,NA,315,75,7951,0.8422000000000001,861,166,42,NA,184,30,36,49,104,NA,398
ARI,202,2,40284030,56,5,545,1652,1367,121,30,NA,119,NA,267,60,4795,NA,NA,146,30,NA,99,22,26,28,106,NA,218
VGK,197,2,40344036,76,5,352,939,1122,48,14,NA,118,NA,118,24,2745,0.898,402,70,13,NA,92,9,11,37,108,NA,210
CGS,100,0,19701971,13,2,472,1867,1285,100,NA,52,84,19751976,283,NA,5594,0.3231,305,183,NA,21,32,0,0,15,56,73,116
TAN,203,2,38343836,10,5,47,229,201,7,NA,0,19,38363838,25,NA,872,0.45,36,18,NA,0,3,0,0,0,114,0,22
TSP,207,2,38383840,10,5,241,793,747,41,NA,5,77,38523854,117,NA,2462,0.4957,228,76,NA,6,36,0,0,11,116,11,113
