activeFranchise,gameTypeId,lastSeasonId,id,firstSeasonId,franchiseId,gamesPlayed,goalsAgainst,goalsFor,homeLosses,homeOvertimeLosses,homeTies,homeWins,losses,overtimeLosses,penaltyMinutes,pointPctg,points,roadLosses,roadOvertimeLosses,roadTies,roadWins,shootoutLosses,shootoutWins,shutouts,teamId,teamName.x,ties,abbreviation.x,wins,name,abbreviation.y,teamName.y,venue.name,venue.city,division.id,division.name,conference.id,conference.name,perc.total.games.win,perc.total.games.loss,perc.home.win,perc.home.loss,perc.road.win,perc.road.loss
1,2,NA,19,19271928,5,6516,19953,19980,1082,85,388,1702,2696,174,92331,0.5136,6693,1614,89,385,1171,77,59,422,10,Toronto Maple Leafs,773,TOR,2873,Toronto Maple Leafs,TOR,Maple Leafs,Scotiabank Arena,Toronto,28,Scotia North,6,Eastern,44.09,41.38,52.26,33.22,35.93,49.52
1,2,NA,19,19271928,5,6516,19953,19980,1082,85,388,1702,2696,174,92331,0.5136,6693,1614,89,385,1171,77,59,422,10,Toronto Maple Leafs,773,TOR,2873,Toronto Maple Leafs,TOR,Maple Leafs,Scotiabank Arena,Toronto,28,Scotia North,6,Eastern,44.09,41.38,52.26,33.22,35.93,49.52
1,2,NA,24,19971998,26,1812,5140,4914,323,77,52,453,725,174,19429,0.5281,1914,402,97,34,374,61,50,99,12,Carolina Hurricanes,86,CAR,827,Carolina Hurricanes,CAR,Hurricanes,PNC Arena,Raleigh,26,Discover Central,6,Eastern,45.64,40.01,50.06,35.69,41.23,44.32
1,2,NA,24,19971998,26,1812,5140,4914,323,77,52,453,725,174,19429,0.5281,1914,402,97,34,374,61,50,99,12,Carolina Hurricanes,86,CAR,827,Carolina Hurricanes,CAR,Hurricanes,PNC Arena,Raleigh,26,Discover Central,6,Eastern,45.64,40.01,50.06,35.69,41.23,44.32
1,2,NA,25,19931994,33,2109,6122,5665,390,115,65,485,870,208,29171,0.5045,2128,480,93,77,404,97,71,115,13,Florida Panthers,142,FLA,889,Florida Panthers,FLA,Panthers,BB&T Center,Sunrise,26,Discover Central,6,Eastern,42.15,41.25,45.97,36.97,38.33,45.54
1,2,NA,25,19931994,33,2109,6122,5665,390,115,65,485,870,208,29171,0.5045,2128,480,93,77,404,97,71,115,13,Florida Panthers,142,FLA,889,Florida Panthers,FLA,Panthers,BB&T Center,Sunrise,26,Discover Central,6,Eastern,42.15,41.25,45.97,36.97,38.33,45.54
1,2,NA,27,19921993,31,2194,6646,6216,414,67,56,559,947,150,31086,0.5087,2232,533,83,56,426,59,68,124,14,Tampa Bay Lightning,112,TBL,985,Tampa Bay Lightning,TBL,Lightning,AMALIE Arena,Tampa,26,Discover Central,6,Eastern,44.9,43.16,51,37.77,38.8,48.54
1,2,NA,27,19921993,31,2194,6646,6216,414,67,56,559,947,150,31086,0.5087,2232,533,83,56,426,59,68,124,14,Tampa Bay Lightning,112,TBL,985,Tampa Bay Lightning,TBL,Lightning,AMALIE Arena,Tampa,26,Discover Central,6,Eastern,44.9,43.16,51,37.77,38.8,48.54
1,2,NA,29,19741975,24,3633,11553,11516,620,83,153,959,1467,163,57455,0.5321,3866,847,80,150,741,71,68,178,15,Washington Capitals,303,WSH,1700,Washington Capitals,WSH,Capitals,Capital One Arena,Washington,25,MassMutual East,6,Eastern,46.79,40.38,52.84,34.16,40.76,46.59
1,2,NA,29,19741975,24,3633,11553,11516,620,83,153,959,1467,163,57455,0.5321,3866,847,80,150,741,71,68,178,15,Washington Capitals,303,WSH,1700,Washington Capitals,WSH,Capitals,Capital One Arena,Washington,25,MassMutual East,6,Eastern,46.79,40.38,52.84,34.16,40.76,46.59
